outcome,metal,n,events,or,ci_low,ci_high,p_value
rapid_decline,As,4550,238,1.007712255563731,0.8630199725419005,1.176663370863111,0.9226084600414536
rapid_decline,Cd,4550,238,1.0573405732168992,0.9146154232767456,1.2223378912257468,0.4510684453998911
rapid_decline,Co,4550,238,0.9588309498425415,0.8310867731888212,1.1062103501520584,0.5644139793175036
rapid_decline,Cr,4550,238,1.1304473950682377,0.9689779689900321,1.3188239092252365,0.11893710126154823
rapid_decline,Cu,4550,238,0.9813496802514846,0.515136848552005,1.8694977803213157,0.9543430925565715
rapid_decline,Ni,4550,238,1.131327538207381,0.9883902188446065,1.2949359213636633,0.07336645743206052
rapid_decline,Pb,4550,238,0.9019946496419153,0.7650943171035367,1.0633909176880498,0.21938521324333127
ckd_progression,As,4550,82,0.8998700307824632,0.6582289675806645,1.2302194406252658,0.5084141580203427
ckd_progression,Cd,4550,82,1.0028243378254011,0.7846423311662541,1.2816752456373277,0.9820244763299887
ckd_progression,Co,4550,82,0.9002502230262045,0.6765929636900542,1.197840514980579,0.4708188902300895
ckd_progression,Cr,4550,82,1.0916233848065735,0.8822646460079694,1.350662320708923,0.4196897406135722
ckd_progression,Cu,4550,82,0.9536493270766097,0.7408866598676349,1.2275116941586586,0.7125213501119545
ckd_progression,Ni,4550,82,1.1509180132428092,0.9080482347202341,1.4587465979875867,0.24509349417363835
ckd_progression,Pb,4550,82,0.7400660628000876,0.563534727388067,0.9718971177640701,0.030386058975402856
